Favorite,Title,Categories,URL,Categorías
No,"Buffer Overflow Kr4k3n ",Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=H-CQ2K2afZc&list=PLp6iRpEq8TnfuKBWqmu7K-RLuMaHcF_oS,Buffer Overflow
No,Buffer Overflow Jackie,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/K_1mfOzj2wg?si=w942d0Crnnl0IYJR,Buffer Overflow
No,Pivoting Jackie,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/zGm7kUvC31M?si=lVDzndB5c8pSCSzH,"Chisel, Ligolo"
No,Active Directory ViejoFraile,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=QOIt7YoBCWM&list=PLP_1J39OfjViOOhAWu5B9ab_Ny1BLbQAu,Active Directory
No,Hacking Web ViejoFraile,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=3CfoRs4LUQ0&list=PLP_1J39OfjVguLgsbErVIfViZXnVdnfeq,"Burpsuite, CSRF, SQLi, SSTI, Web, XSS"
No,Pivoting ViejoFraile,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=EC0iuYR-X10&list=PLP_1J39OfjViMx25c6YOSba8-3GBbLKp7,"Chisel, Socat"
No,Active Directory for OSCP,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=i49PNCJzx5w&list=PLk6vOUIjcauXQy0xJ9zrf4B99XkicA8cO,"Active Directory, BloodHound, Kerberos"
No,Active Directory S4vitar,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/-bNb4hwgkCo?si=a_DblCMWaQdTG8AO,Active Directory
No,CSRF Mario,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/kZ0x5K3msWg?si=OEam-Mp10FNwDT-S,CSRF
No,SSTI Mario,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/fx7WGNKJG20?si=QpdNh9MqlGoJYys1,SSTI
No,LFI Mario (1),Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=t15Xvv6k-1U&list=PLMd59HZRUmEgIZhPf-OIGSgjt_Yq4SPo3&index=5&pp=iAQB,LFI/RFI
No,LFI Mario (2),Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/3bxxnX15YuU?si=EJ9i1MKoMb7y7WFR,LFI/RFI
No,"Pivoting Mario ",Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/3bxxnX15YuU?si=7TRjynEM9qMrrVIS,"Chisel, Socat"
No,Herramientas OSCP Xerosec,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/4CKey4l490c?si=x9I_FuY4KoGFOAJq,Incursore
No,Pivoting Ligolo-NG Xerosec,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md)," https://www.youtube.com/watch?v=Kimrp9WZPTU&list=PLQM9pgUvi6dy3kTvPtrVaa4hIk0C-dq8R&index=2&pp=iAQB",Ligolo
No,RFI Xerosec,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=w5-MZoX27YM&list=PLQM9pgUvi6dz9v2n3uRt7k_SDEFrXHPo_&index=5&pp=iAQB,LFI/RFI
No,XSS Xerosec,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=iAZsBOXtyDg&list=PLQM9pgUvi6dz9v2n3uRt7k_SDEFrXHPo_&index=12&pp=iAQB0gcJCVEJAYcqIYzv,XSS
No,Command Injection Xerosec,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=ktSUDT7Dg_c&list=PLQM9pgUvi6dz9v2n3uRt7k_SDEFrXHPo_&index=7&pp=iAQB,Web
No,SSRF Mario,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=GzMumBZuScQ&list=PLMd59HZRUmEi47f1OiHcNykLbt_sOOTsr&index=2&pp=iAQB,SSRF
No,Keberoasting Mario,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=WE4K6lXmwig,Kerberos
No,AD Mario (1),Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/diTRm6vEN0Q?si=M9Y-NRDMiSAkKkVp,Active Directory
No,AD Mario (2),Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=vDuPrPImO0I&pp=0gcJCUUJAYcqIYzv,Active Directory
No,"laZagne Mario ",Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/DXFh3QQl2oo?si=qH63nTyeDwZmoh16,laZagne
No,Buffer Overflow d1seo,Apuntes (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Apuntes%201b1faf5bfa5c811fb2e3e0ee740daa1e.md),https://dise0.gitbook.io/h4cker_b00k/herramientas-tecnicas/bof,Buffer Overflow
